,Genre,avg_precision,avg_recall,avg_f1_score
0,Blues,0.704200029373169,0.7167999148368835,0.7052999138832092
1,Classical,0.9145998954772949,0.8510000109672546,0.8788999319076538
2,Country,0.6227999925613403,0.6591999530792236,0.6345999240875244
3,Disco,0.5828999876976013,0.6687999963760376,0.6180999875068665
4,Hiphop,0.6847999691963196,0.5426999926567078,0.5981000661849976
5,Jazz,0.7247000336647034,0.8343001008033752,0.7707999348640442
6,Metal,0.7538999915122986,0.8403999209403992,0.7919000387191772
7,Pop,0.7769999504089355,0.7111998796463013,0.737500011920929
8,Reggae,0.5838000178337097,0.6148999929428101,0.5930999517440796
9,Rock,0.469899982213974,0.3611000180244446,0.3965999484062195
