,Genre,avg_precision,avg_recall,avg_f1_score
0,Blues,0.6999997496604919,0.550000011920929,0.619999885559082
1,Classical,0.690000057220459,0.9100000858306885,0.779999852180481
2,Country,0.5600000619888306,0.720000147819519,0.630000114440918
3,Disco,0.4300000071525574,0.7600001692771912,0.550000011920929
4,Hiphop,0.5999999046325684,0.4099999964237213,0.49000000953674316
5,Jazz,0.6999997496604919,0.5900000333786011,0.6399998664855957
6,Metal,0.7300001382827759,0.919999897480011,0.8100000023841858
7,Pop,0.8799999356269836,0.75,0.8100000023841858
8,Reggae,0.5800000429153442,0.619999885559082,0.5999999046325684
9,Rock,0.44999998807907104,0.18000003695487976,0.25999999046325684
