,Genre,avg_precision,avg_recall,avg_f1_score
0,Blues,0.7039999961853027,0.7184000611305237,0.7045999765396118
1,Classical,0.9191998839378357,0.8440000414848328,0.877799928188324
2,Country,0.6293999552726746,0.6629999279975891,0.6389999985694885
3,Disco,0.5590999722480774,0.6657000780105591,0.6021000146865845
4,Hiphop,0.6921000480651855,0.5512000322341919,0.6058000326156616
5,Jazz,0.7166998982429504,0.8444998860359192,0.7714999914169312
6,Metal,0.7490999698638916,0.8223999738693237,0.7797999382019043
7,Pop,0.7868999242782593,0.7037999629974365,0.7383999824523926
8,Reggae,0.5985000133514404,0.6082000136375427,0.5963000059127808
9,Rock,0.45810002088546753,0.36069995164871216,0.3946000039577484
