,Genre,avg_precision,avg_recall,avg_f1_score
0,Blues,0.6149000525474548,0.6096000075340271,0.605400025844574
1,Classical,0.8659000396728516,0.8604000210762024,0.8606000542640686
2,Country,0.5465999841690063,0.5508999824523926,0.5430000424385071
3,Disco,0.5138000249862671,0.6255999803543091,0.5590000152587891
4,Hiphop,0.6242000460624695,0.46400001645088196,0.5245999693870544
5,Jazz,0.6513999700546265,0.7405998706817627,0.688499927520752
6,Metal,0.6948001384735107,0.7936000823974609,0.7353999614715576
7,Pop,0.7071000933647156,0.6597000360488892,0.6764999628067017
8,Reggae,0.5887999534606934,0.6611000299453735,0.6176999807357788
9,Rock,0.33640003204345703,0.23239998519420624,0.2677000164985657
